iter	Passed	Remaining
810	1301	303
811	1303	301
812	1304	300
813	1307	298
814	1309	297
815	1311	295
816	1313	294
817	1314	292
818	1316	290
819	1317	289
820	1318	287
821	1321	286
822	1323	284
823	1324	282
824	1326	281
825	1327	279
826	1329	278
827	1330	276
828	1332	274
829	1333	273
830	1335	271
831	1337	270
832	1339	268
833	1341	266
834	1342	265
835	1344	263
836	1345	262
837	1347	260
838	1348	258
839	1349	257
840	1351	255
841	1354	254
842	1356	252
843	1358	251
844	1360	249
845	1361	247
846	1363	246
847	1364	244
848	1366	243
849	1368	241
850	1370	240
851	1372	238
852	1373	236
853	1375	235
854	1376	233
855	1378	231
856	1380	230
857	1381	228
858	1383	227
859	1385	225
860	1387	223
861	1388	222
862	1390	220
863	1392	219
864	1393	217
865	1394	215
866	1396	214
867	1400	212
868	1401	211
869	1403	209
870	1404	208
871	1406	206
872	1407	204
873	1408	203
874	1410	201
875	1411	199
876	1414	198
877	1416	196
878	1418	195
879	1419	193
880	1421	191
881	1422	190
882	1424	188
883	1425	187
884	1426	185
885	1428	183
886	1431	182
887	1433	180
888	1434	179
889	1436	177
890	1437	175
891	1439	174
892	1440	172
893	1442	170
894	1443	169
895	1446	167
896	1447	166
897	1449	164
898	1450	162
899	1452	161
900	1453	159
901	1454	158
902	1456	156
903	1457	154
904	1459	153
905	1461	151
906	1463	150
907	1465	148
908	1466	146
909	1468	145
910	1469	143
911	1471	141
912	1472	140
913	1474	138
914	1475	137
915	1478	135
916	1479	133
917	1481	132
918	1483	130
919	1484	129
920	1485	127
921	1487	125
922	1488	124
923	1490	122
924	1492	121
925	1494	119
926	1495	117
927	1497	116
928	1498	114
929	1500	112
930	1502	111
931	1503	109
932	1511	108
933	1513	106
934	1515	105
935	1516	103
936	1518	102
937	1519	100
938	1521	98
939	1523	97
940	1525	95
941	1527	94
942	1528	92
943	1530	90
944	1531	89
945	1532	87
946	1534	85
947	1536	84
948	1537	82
949	1539	81
950	1541	79
951	1542	77
952	1544	76
953	1545	74
954	1547	72
955	1548	71
956	1550	69
957	1551	68
958	1553	66
959	1555	64
960	1557	63
961	1558	61
962	1560	59
963	1561	58
964	1563	56
965	1565	55
966	1567	53
967	1568	51
968	1570	50
969	1572	48
970	1573	47
971	1575	45
972	1577	43
973	1578	42
974	1580	40
975	1581	38
976	1582	37
977	1584	35
978	1586	34
979	1588	32
980	1590	30
981	1592	29
982	1593	27
983	1595	25
984	1596	24
985	1598	22
986	1599	21
987	1601	19
988	1604	17
989	1605	16
990	1607	14
991	1608	12
992	1610	11
993	1611	9
994	1613	8
995	1614	6
996	1618	4
997	1620	3
998	1621	1
999	1623	0
